Date,Rented_Bikes,Temperature,Humidity_percent
2017-12-01,9539,-2.4541666666666697,45.875
2017-12-02,8523,1.325,61.9583333333333
2017-12-03,7222,4.875,81.5416666666667
2017-12-04,8729,-0.304166666666667,52.5
2017-12-05,8307,-4.45833333333333,36.4166666666667
2017-12-06,6669,0.0458333333333333,70.7916666666667
2017-12-07,8549,1.09166666666667,67.5416666666667
2017-12-08,8032,-3.825,41.75
2017-12-09,7233,-0.845833333333333,46.0
2017-12-10,3453,1.19166666666667,69.7083333333333
2017-12-11,5848,-6.26666666666667,39.375
2017-12-12,5496,-9.46666666666667,42.7916666666667
2017-12-13,6019,-8.61666666666667,41.1666666666667
2017-12-14,6398,-6.87083333333333,42.5416666666667
2017-12-15,7198,-3.27916666666667,50.4583333333333
2017-12-16,4632,-5.2875,46.3333333333333
2017-12-17,3776,-7.0125,37.625
2017-12-18,2620,-1.97083333333333,77.0
2017-12-19,4334,-3.53333333333333,50.2083333333333
2017-12-20,4568,-4.29166666666667,65.5
2017-12-21,5734,-0.845833333333333,73.0833333333333
2017-12-22,7184,2.75833333333333,67.0833333333333
2017-12-23,6624,6.12916666666667,75.5833333333333
2017-12-24,2014,3.4583333333333304,82.7916666666667
2017-12-25,3966,-2.09166666666667,43.375
2017-12-26,5605,-3.2666666666666697,43.5833333333333
2017-12-27,5351,-6.99583333333333,31.125
2017-12-28,6594,-2.5791666666666697,45.0416666666667
2017-12-29,7663,2.19583333333333,65.0
2017-12-30,4027,1.3125,77.75
2017-12-31,3423,0.0875,59.0833333333333
2018-01-01,4290,-1.28333333333333,39.3333333333333
2018-01-02,6446,-1.4916666666666698,43.7083333333333
2018-01-03,6512,-4.47916666666667,41.1666666666667
2018-01-04,6453,-4.8,44.125
2018-01-05,6967,-2.9125,48.5416666666667
2018-01-06,5180,-2.75416666666667,45.6666666666667
2018-01-07,4714,-1.20833333333333,43.0833333333333
2018-01-08,5711,1.42083333333333,49.3333333333333
2018-01-09,5500,-3.87083333333333,58.5833333333333
2018-01-10,4161,-7.0333333333333306,54.2083333333333
2018-01-11,4017,-10.766666666666698,49.875
2018-01-12,4111,-10.6958333333333,36.1666666666667
2018-01-13,3503,-4.55833333333333,63.7916666666667
2018-01-14,4225,0.0208333333333333,65.75
2018-01-15,6334,4.70833333333333,63.9166666666667
2018-01-16,6705,3.27916666666667,59.4583333333333
2018-01-17,6292,4.55,63.4166666666667
2018-01-18,6383,2.31666666666667,62.5416666666667
2018-01-19,7472,1.05416666666667,40.875
2018-01-20,5576,2.2625,58.4583333333333
2018-01-21,4973,0.3916666666666671,37.5833333333333
2018-01-22,4503,0.4416666666666671,53.2083333333333
2018-01-23,3981,-10.916666666666698,44.5416666666667
2018-01-24,3154,-14.083333333333302,30.7916666666667
2018-01-25,3113,-14.004166666666698,33.4166666666667
2018-01-26,2931,-14.7375,33.9166666666667
2018-01-27,2693,-10.4291666666667,38.2916666666667
2018-01-28,2828,-6.0333333333333306,34.7083333333333
2018-01-29,4088,-8.525,36.25
2018-01-30,3360,-5.9125,58.6666666666667
2018-01-31,3830,-2.1875,57.1666666666667
2018-02-01,5377,-3.86666666666667,44.0
2018-02-02,5954,-2.6458333333333304,48.7083333333333
2018-02-03,3290,-6.61666666666667,48.9166666666667
2018-02-04,2487,-9.52083333333333,41.0
2018-02-05,3932,-9.4,37.9583333333333
2018-02-06,3988,-10.0083333333333,35.5416666666667
2018-02-07,4697,-8.325,40.0
2018-02-08,5613,-4.5875,44.75
2018-02-09,6268,-0.0541666666666667,42.4583333333333
2018-02-10,4425,0.120833333333333,49.75
2018-02-11,2850,-5.9875,40.5416666666667
2018-02-12,4813,-5.9875,39.7083333333333
